county,confirmed,confirmed/1M,confirmed/sqmi,days_since_peak,deaths,deaths/1M,last_peak_pct,last_peak_value,new_cases/1M,pct_change_2day,pct_change_2day_prev
"Los Angeles, CA",4605,455.69163302662963,1.134829024022396,5,93,9.20289291454431,5,2,51.5559914890063,0.06867119088961404,0.1575437710117522
"Cook, IL",7439,1435.963720055215,7.869209693969301,0,167,32.23631418863031,0,0,103.46505631799909,0.15672826990657873,0.11400575528834467
"Harris, TX",1284,273.2717847520729,0.7537511447155235,7,17,3.6180843775585974,0,0,32.13710241243225,0.15952775437168032,0.1865485450378499
"Maricopa, AZ",1171,265.48327478040386,0.12728067181586367,5,28,6.348020233861066,0,0,19.95092073499192,0.10393625959612696,0.10432972777657978
"San Diego, CA",1112,332.5991426599078,0.26434461790078995,0,17,5.084699123397871,0,0,34.99469396691476,0.1444739518176299,0.18692123737836508
"Orange, CA",786,246.7068093590394,0.9942193607144212,3,14,4.394268868990523,0,0,17.263199128177057,0.09466334774107232,0.1448397827830592
"Miami-Dade, FL",3890,1408.6133993534863,2.0498282149105242,2,31,11.225453825182024,2,0,173.08925575603251,0.16099432003118097,0.1739190980836588
"Dallas, TX",1105,418.91414420958296,1.2682490129464696,0,18,6.8239408106538395,0,0,34.119704053269196,0.1540430469157289,0.1476387554985138
"Riverside, CA",638,260.32762108702696,0.0885314328215717,0,15,6.120555354710665,0,0,0.0,0.1470588235294118,0.16442048517520214
"King, WA",2898,1297.7109149667983,1.3698435882528113,7,200,89.55906935588669,2,2,58.66119042810578,0.044575030477129185,0.06995708154506441
"Clark, NV",1418,635.405151441962,0.17968859889779165,5,41,18.37208124761667,2,2,69.00732956421871,0.12278377204413171,0.13826219092358005
"San Bernardino, CA",353,162.55273178384815,0.01759989310433197,2,13,5.986361227167213,3,2,23.024466258335433,0.1790173021135516,0.42598907103825134
"Tarrant, TX",404,193.77140058831682,0.4678037540093329,5,9,4.316689617066464,1,1,27.818666421094992,0.11664591283390235,0.09170863858363865
"Bexar, TX",342,172.20118939663624,0.2758464938458809,0,9,4.531610247279901,0,0,12.58780624244417,0.22781349929512085,0.1692115251897861
"Broward, FL",1765,904.5437307175877,1.458930888831946,5,31,15.88717034121542,0,0,59.961255803942066,0.09175315362974823,0.10638743434580178
"Santa Clara, CA",1148,592.4947227713063,0.8898534997287033,5,39,20.128305041882356,0,0,0.0,0.06329735034347395,0.07002844248037232
"Wayne, MI",6762,3855.423335403015,11.047575480329368,1,252,143.68037274793843,1,1,585.5545349687809,0.15592801621093477,0.16539581143365412
"Alameda, CA",443,265.78623227316825,0.5994425049389732,1,12,7.199627059318328,0,0,50.39738941522829,0.19047407156905494,0.05300353356890464
"New York City, NY",63306,7593.561078591306,209.6225165562914,0,1905,228.50494194415123,0,0,641.7330390557528,0.10540301551343045,0.09615307575626608
"Middlesex, MA",2468,1528.444046437945,3.0177789733682228,1,38,23.53357932116771,2,1,205.60916670072842,0.14916969016985038,0.1813225276902466
"Philadelphia, PA",3008,1898.8244711003713,22.431021625652498,0,24,15.15019524814126,0,0,208.31518466194234,0.19750146972369198,0.26374780091935757
"Sacramento, CA",390,253.08651989811645,0.40429590313484826,2,10,6.48939794610555,1,1,49.31942439040218,0.32191196542311185,0.0
"Palm Beach, FL",954,642.0174152271187,0.48432296320363905,2,35,23.55409804292364,2,2,81.42988180553603,0.13803360818286192,0.16443087283982627
"Suffolk, NY",11370,7676.763039187951,12.4664217970506,1,124,83.72195398938487,1,1,950.6492840084991,0.14037182072506904,0.14145469068866834
"Hillsborough, FL",497,345.8863878047558,0.4871546054243734,2,5,3.4797423320397973,2,2,41.06095951806961,0.10973686461518717,0.1602790598970768
"Nassau, NY",13346,9825.20615190714,46.874121944366394,1,95,69.93815258738036,1,1,1057.9065817691114,0.1228396376228369,0.11316693147329704
