state,confirmed,confirmed/1M,deaths,deaths/1M,pct_change_3day,pct_change_3day_prev
AK,6,8.201819436945096,0,0.0,1.0,inf
AL,46,9.381657024974583,0,0.0,0.6469938107869142,inf
AR,33,10.935027710354312,0,0.0,0.2916666666666667,0.4444444444444444
AZ,27,3.709444947509293,0,0.0,0.2819088319088319,0.13888888888888884
CA,751,19.006776713119887,13,0.3290121135426878,0.2121949334732239,0.2448776782944492
CO,184,31.95145601395862,2,0.3472984349343328,0.12379134860050889,0.482381027218368
CT,68,19.072798346949348,0,0.0,0.5358585858585858,0.9555555555555557
DC,31,43.92496482460478,0,0.0,0.2613636363636364,0.20000000000000004
DE,19,19.51191459121512,0,0.0,0.44345238095238093,1.2222222222222223
FL,314,14.619789785115628,7,0.3259188805599026,0.39835939258566655,0.48724310776942353
GA,199,18.742777790806677,3,0.2825544390573871,0.2639491637000977,0.4754224270353302
HI,14,9.887899471138635,0,0.0,0.33174603174603173,0.5
IA,29,9.191555179441343,0,0.0,0.17954911433172302,0.04044117647058824
ID,9,5.035959548934699,0,0.0,0.2416666666666667,inf
IL,162,12.784271494996654,1,0.07891525614195466,0.22285892384069106,0.4273097826086956
IN,39,5.793037927019308,2,0.29707886805227224,0.25,0.16025641025641027
KS,18,6.178530704208335,1,0.34325170578935194,0.33712121212121215,1.5333333333333332
KY,27,6.04341454712554,1,0.22383016841205702,0.10885225885225891,0.27619047619047615
LA,257,55.283155158090466,4,0.8604382125772835,0.41563548496321606,0.738481304270778
MA,218,31.369149707540238,0,0.0,0.16540809802271492,0.13256073788808065
MD,85,14.059626047028623,0,0.0,0.38711043360433606,0.39173789173789175
ME,42,31.245071461942015,0,0.0,0.5371732026143791,inf
MI,83,8.310923046159568,0,0.0,0.3697995924411018,2.6275
MN,77,13.653373127892033,0,0.0,0.3124338624338625,0.5740740740740741
MO,18,2.932824629470195,0,0.0,0.5565656565656566,0.75
MS,34,11.42415920708271,0,0.0,0.5114774114774115,1.888888888888889
MT,11,10.29212801910219,0,0.0,0.16931216931216939,1.4666666666666668
NC,70,6.674240976712238,0,0.0,0.309825225943647,0.3066993464052288
ND,6,7.873375132207091,0,0.0,1.0,0.0
NE,24,12.40689658024574,0,0.0,0.12278244631185808,0.19706959706959704
NH,26,19.121710422288267,0,0.0,0.5647489765136824,0.12222222222222223
NJ,267,30.06015408362127,3,0.3377545402654075,0.5788721285615696,0.5467266366816592
NM,23,10.968944057908393,0,0.0,0.320211161387632,0.5555555555555556
NV,55,17.85623845026031,1,0.32465888091382383,0.36719576719576724,0.19747899159663862
NY,2495,128.25415357116364,16,0.8224715259072619,0.5159142773169925,0.30828439283714176
OH,86,7.357281570009667,0,0.0,0.32497781363453004,1.0076923076923077
OK,19,4.8016525771859335,0,0.0,0.6928571428571427,0.3333333333333333
OR,68,16.122389802872963,2,0.47418793537861653,0.2686480186480186,0.14722222222222223
PA,152,11.873155023020251,0,0.0,0.3261183261183262,0.47141104873331124
PR,5,1.5655851812978951,0,0.0,0.22222222222222224,inf
RI,33,31.150854146981057,0,0.0,0.1933402346445825,0.7428571428571429
SC,47,9.128493056712802,1,0.1942232565258043,0.3588326877800562,0.2482905982905982
SD,11,12.434169550075227,1,1.1303790500068387,0.07037037037037042,0.041666666666666664
TN,79,11.561245184156002,0,0.0,0.27465927465927464,0.29798789173789175
TX,173,5.966364670899291,3,0.103462971171664,0.34913349178055064,0.3937772942260906
UT,51,15.907881513107782,0,0.0,0.8335164835164836,0.525925925925926
VA,77,9.021126893396875,2,0.23431498424407468,0.20182985300256084,0.409644508209788
VT,18,28.84666236103521,0,0.0,0.3333333333333333,0.7000000000000001
WA,1014,133.1601113764829,55,7.222688486890098,0.17951815556816783,0.13874533365005615
WI,92,15.800951973006478,0,0.0,0.42614755713159963,0.6604126055880442
WV,1,0.5580154737690877,0,0.0,inf,
WY,15,25.917523528791776,0,0.0,1.0101010101010102,0.5
US,7708,23.39589227380221,118,0.35816233631404526,0.3121847228290909,0.2905036504650403
