state,confirmed,confirmed/1M,deaths,deaths/1M,pct_change_3day,pct_change_3day_prev
AK,12,16.40363887389019,0,0.0,0.611111111111111,0.6666666666666666
AL,83,16.92777245810631,0,0.0,0.3130806391675957,0.9204980842911876
AR,96,31.810989702848907,0,0.0,0.6423916585206908,0.23611111111111108
AZ,78,10.716174292804626,0,0.0,0.5833333333333334,0.193019943019943
CA,1177,29.78825058767258,23,0.5820983547293707,0.19330630412783809,0.2711982482661898
CO,363,63.034665940581405,4,0.6945968698686656,0.3219680322293726,0.17280124959060794
CT,194,54.413571754531965,3,0.8414469858948241,0.5194536934270564,0.5358585858585858
DC,71,100.60233879183676,1,1.4169343491807993,0.4914711632453568,0.325
DE,38,39.02382918243024,0,0.0,0.3443713450292398,0.4365079365079365
FL,563,26.213189965032164,10,0.4655984007998608,0.37728302849581624,0.4181774562633793
GA,420,39.55762146803419,13,1.2244025692486773,0.42287979601762005,0.30961126415671875
HI,26,18.36324187497175,0,0.0,0.38928571428571423,0.3650793650793651
IA,45,14.262758037064154,0,0.0,0.2669460724183363,0.11220043572984746
ID,23,12.86967440283312,0,0.0,0.4793771043771044,0.7000000000000001
IL,585,46.165424843043475,5,0.3945762807097733,0.6658017919665926,0.37183019713261656
IN,86,12.774391326247706,2,0.29707886805227224,0.423931623931624,0.2333333333333333
KS,44,15.103075054731484,1,0.34325170578935194,0.39433551198257083,0.33712121212121215
KY,47,10.52001791536668,2,0.44766033682411405,0.22636739303405973,0.23888888888888893
LA,538,115.72893959164463,14,3.0115337440204923,0.40298843272717644,0.3725000489706372
MA,413,59.42871022575284,1,0.14389518214467997,0.2545778324755725,0.16540809802271492
MD,149,24.64569742361488,1,0.16540736525916025,0.3560045201881376,0.3251446216385241
ME,56,41.66009528258935,0,0.0,0.20917277167277168,1.4330065359477124
MI,552,55.27264483710941,3,0.3003948088973338,1.3179046910812298,0.3841585668000762
MN,115,20.391401424773814,0,0.0,0.2437707735460545,0.4402116402116403
MO,53,8.635539186773352,2,0.3258694032744661,0.6894210926468992,0.42777777777777776
MS,80,26.880374604900492,1,0.33600468256125615,0.5632119514472457,0.5273504273504274
MT,15,14.03472002604844,0,0.0,0.19528619528619529,0.22857142857142856
NC,172,16.399563542778644,0,0.0,0.4164222802942315,0.403575225943647
ND,19,24.932354585322454,0,0.0,1.0185185185185184,0.6666666666666666
NE,37,19.127298894545515,0,0.0,0.2090175150519978,0.1465919701213819
NH,44,32.359817637718606,0,0.0,0.40723981900452483,0.44383394383394387
NJ,890,100.20051361207089,11,1.2384333143064943,0.6594957112235044,0.5788721285615696
NM,43,20.507156282176563,0,0.0,0.2501035196687371,0.320211161387632
NV,114,37.01111242417592,1,0.32465888091382383,0.3031385281385281,0.42076719576719573
NY,8310,427.17114876808415,42,2.1589877555065624,0.7205713952080113,0.4931810667994912
OH,173,14.800112925717121,2,0.17109957139557366,0.3736948441299463,0.3714760914760915
OK,49,12.383209278005829,1,0.2527185566939965,0.47647527910685805,0.6928571428571427
OR,114,27.028712316581142,3,0.7112819030679248,0.20662507427213309,0.3002136752136752
PA,303,23.66819718404695,1,0.07811286199355429,0.39442660048178707,0.3418224801203525
PR,14,4.383638507634107,0,0.0,0.6,0.22222222222222224
RI,54,50.97412496778718,0,0.0,0.3317962231005709,0.04841269841269846
SC,126,24.472130322251342,1,0.1942232565258043,0.42631993695823484,0.3588326877800562
SD,14,15.825306700095743,1,1.1303790500068387,0.0909090909090909,0.07037037037037042
TN,233,34.09835604947276,0,0.0,0.5099738897207251,0.3250534188034188
TX,394,13.588136880545205,5,0.17243828528610666,0.5303340205074308,0.24594369911707373
UT,78,24.329701137694254,0,0.0,0.18120915032679738,0.8335164835164836
VA,122,14.293214038888555,2,0.23431498424407468,0.2224304164602672,0.1845989344247184
VT,29,46.47517824833451,2,3.20518470678169,0.34680134680134683,0.3666666666666667
WA,1524,200.13413189128198,83,10.89969353476142,0.13564643135920176,0.24010038622474794
WI,207,35.55214193926457,3,0.5152484339023852,0.43597514659860837,0.39528335960073546
WV,7,3.906108316383613,0,0.0,1.1666666666666667,inf
WY,19,32.828863136469586,0,0.0,0.20639730639730636,1.0555555555555556
US,19011,57.703594709036565,244,0.7406068649205683,0.45877356312023115,0.3371733104501335
