 Aruba (Netherlands),"112,309"
 Grenada,"112,003"
 Saint Vincent and the Grenadines,"110,608"
 Jersey (UK),"106,800"
 U.S. Virgin Islands (US),"104,578"
 F.S. Micronesia,"104,468"
 Tonga,"100,651"
 Seychelles,"97,625"
 Antigua and Barbuda,"96,453"
 Isle of Man (UK),"83,314"
 Andorra,"77,543"
 Dominica,"71,808"
 Cayman Islands (UK),"65,813"
 Bermuda (UK),"64,027"
 Guernsey (UK),"62,792"
 American Samoa (US),"56,700"
 Greenland (Denmark),"56,081"
 Northern Mariana Islands (US),"56,200"
 Marshall Islands,"55,500"
 South Ossetia[u],"53,532"
 Saint Kitts and Nevis,"52,823"
 Faroe Islands (Denmark),"52,124"
 Turks and Caicos Islands (UK),"41,369"
 Sint Maarten (Netherlands),"40,614"
 Liechtenstein,"38,557"
 Monaco,"38,300"
 Saint Martin (France),"35,746"
 Gibraltar (UK),"33,701"
 San Marino,"33,574"
 British Virgin Islands (UK),"30,030"
 Åland Islands (Finland),"29,885"
 Palau,"17,900"
 Cook Islands (NZ),"15,200"
 Anguilla (UK),"14,869"
 Wallis and Futuna (France),"11,700"
 Nauru,"11,000"
 Tuvalu,"10,200"
 Saint Barthélemy (France),"9,793"
 Saint Pierre and Miquelon (France),"6,008"
" Saint Helena, Ascension","5,633"
and Tristan da Cunha (UK),
 Montserrat (UK),"4,989"
 Falkland Islands (UK),"3,198"
 Christmas Island (Australia),"1,928"
 Norfolk Island (Australia),"1,756"
 Niue (NZ),"1,520"
 Tokelau (NZ),"1,400"
 Vatican City,799
 Cocos (Keeling) Islands (Australia),538
 Pitcairn Islands (UK),50
